pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
109.03,256.35,-117.0,44.337551,0.13,6.164876,-0.103,-4.3,0.154,55.8,105.0,5854.0,1021.0,300.86398,-0.08,4.635e-05,4.3,1.012,-4.635e-05,0.79,-65.57,CONFIRMED,Kepler
1.89,6.77,-120.0,38.947281,1.11,60.32494216,-0.037,-64.0,0.079,20280.0,98.0,5485.0,411.0,285.28363,-0.52,3.207e-05,64.0,0.867,-3.207e-05,12.19,-1.09,CONFIRMED,Kepler
5.61,17.85,-112.0,38.947281,0.2,29.1598615,-0.034,-43.5,0.092,488.0,99.0,5485.0,524.0,285.28363,-0.07,0.0002534,43.5,0.867,-0.0002534,1.91,-2.68,CONFIRMED,Kepler
965.56,1105.68,-188.0,38.921631,7.44,1.540397253,-0.083,-25.7,0.265,816.1,171.0,5663.0,1470.0,286.92639,-2.33,2.702e-06,25.7,0.915,-2.702e-06,25.69,-306.98,FALSE POSITIVE,Kepler
43.55,168.45,-154.0,38.92955,0.1,2.99025443,-0.063,-14.1,0.042,589.2,140.0,4667.0,918.0,287.74881,-0.15,1.168e-05,14.1,0.731,-1.168e-05,1.7,-45.45,FALSE POSITIVE,Kepler
1067.75,1329.42,-178.0,39.027481,3.09,1.594745374,-0.105,-20.3,0.244,15044.0,160.0,5934.0,1539.0,285.21381,-1.33,1.13e-07,20.3,0.893,-1.13e-07,11.3,-412.98,CONFIRMED,Kepler
66.39,145.48,-155.0,39.060719,0.34,4.783002698,-0.06,-16.6,0.111,1008.7,155.0,5170.0,886.0,287.09399,-0.19,5.432e-06,16.6,0.807,-5.432e-06,2.5,-35.12,CONFIRMED,Kepler
5.47,17.06,-148.0,39.153278,0.28,20.50588921,-0.07,-31.0,0.063,2105.5,148.0,4905.0,518.0,289.31543,-0.31,3.206e-05,31.0,0.761,-3.206e-05,3.41,-4.61,CONFIRMED,Kepler
9.67,43.73,-86.0,39.27832,0.13,3.340218842,-0.04,-26.6,0.033,1632.6,70.0,3950.0,656.0,286.07913,-0.17,3.177e-06,26.6,0.493,-3.177e-06,2.03,-9.92,CONFIRMED,Kepler
699.82,730.47,-226.0,40.493401,9.57,2.507089906,-0.099,-24.7,0.297,1339.2,184.0,5926.0,1326.0,295.37805,-3.19,2.401e-06,24.7,0.939,-2.401e-06,30.26,-230.11,FALSE POSITIVE,Kepler
22.99,57.13,-78.0,40.562462,0.47,18.64932728,-0.094,-20.9,0.161,893.6,78.0,5775.0,701.0,290.46176,-0.28,5.202e-05,20.9,1.053,-5.202e-05,3.12,-12.26,CONFIRMED,Kepler
84.12,598.74,-75.0,48.208611,0.08,4.90144976,-0.046,-2.9,0.063,140.7,64.0,5847.0,1262.0,297.02826,-0.05,1.07e-05,2.9,1.402,-1.07e-05,1.7,-66.83,CONFIRMED,Kepler
54.6,135.66,-78.0,40.562462,0.43,9.75192101,-0.094,-16.2,0.161,418.0,78.0,5775.0,870.0,290.46176,-0.24,4.829e-05,16.2,1.053,-4.829e-05,2.76,-29.09,CONFIRMED,Kepler
